configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,4,4,68,1,1,0,37,425,7,0,0,336.13548956643194,50040,0,0,0,165146765,28608034
balanced,4,4,4,69,1,1,0,27,29,1,0,1,419.9102367832626,50040,0,0,0,11158185,1934506
balanced,4,4,4,70,1,1,0,20,56,1,0,1,305.55769607368677,50040,0,0,0,21646527,3751913
balanced,4,4,4,71,1,1,0,22,180,3,0,0,262.55923394173766,50040,0,0,0,70127446,12149780
balanced,4,4,4,72,1,1,0,16,37,1,0,1,363.2205725489646,50040,0,0,0,14222024,2465500
balanced,4,4,4,73,1,1,0,15,53,1,0,1,281.4572555769234,50040,0,0,0,20506317,3554085
balanced,4,4,4,74,1,1,0,26,53,1,0,1,403.7495155537748,50040,0,0,0,20426572,3540421
balanced,4,4,4,75,1,1,0,29,38,1,0,0,387.8432492754247,50040,0,0,0,14601496,2532118
balanced,4,4,4,76,1,1,0,19,43,1,0,1,382.70588281202197,50040,0,0,0,16541675,2867803
balanced,4,4,4,77,1,1,0,26,25,1,0,1,338.2515594759273,50040,0,0,0,9643054,1671622
balanced,4,4,4,78,1,1,0,37,422,7,0,0,335.9004272988059,50040,0,0,0,164296810,28462326
balanced,4,4,4,79,1,1,0,25,48,1,0,1,290.74375921273077,50040,0,0,0,18646728,3231323
balanced,4,4,4,80,1,1,0,31,38,1,0,1,395.1796911417865,50040,0,0,0,14578492,2528617
balanced,4,4,4,81,1,1,0,15,46,1,0,1,366.29288401299124,50040,0,0,0,17804348,3086033
balanced,4,4,4,82,1,1,0,22,42,1,0,1,313.37797194494317,50040,0,0,0,16271381,2820218
balanced,4,4,4,83,1,1,0,9,32,1,0,1,354.95579908152354,50040,0,0,0,12127526,2105446
balanced,4,4,4,84,1,1,0,22,33,1,0,1,372.6553638213032,50040,0,0,0,12625375,2189906
balanced,4,4,4,85,1,1,0,18,33,1,0,1,288.6442635998196,50040,0,0,0,12852624,2227192
balanced,4,4,4,86,1,1,0,36,73,1,0,1,374.30973010524997,50040,0,0,0,28291774,4903450
balanced,4,4,4,87,1,1,0,43,418,7,0,0,355.8865299693315,50040,0,0,0,162342651,28124962
balanced,4,4,4,88,1,1,0,27,73,1,0,1,342.0495775805186,50040,0,0,0,28324280,4907235
balanced,4,4,4,89,1,1,0,27,57,1,0,1,378.9005216413623,50040,0,0,0,22067808,3825088
balanced,4,4,4,90,1,1,0,16,61,1,0,1,297.24733894670055,50040,0,0,0,23600115,4091535
balanced,4,4,4,91,0,0,0,108,980,16,0,0,,50040,0,0,0,375068923,65014989
balanced,4,4,4,92,1,1,0,21,32,1,0,1,353.44487174359256,50040,0,0,0,12318575,2136365
